,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,194180,191686,201179,200738,184208,203296,193340,202888,190954,184209,188021,190207,196628,199941,200499,200887,200944,201748,201772,202531,202889,203280,203284,203286,205788,193857,194071,194184,194983,196470,196472,196594,190960,191901,flu2,flu7,flu8,flu11,flu12,flu19,flu13,flu17,flu20,flu26,flu32,flu34,flu53,flu56,flu73,186632,196075,198008,198212,200411,201702,203140,203152,204535,201856,26,28,29,39,63,79,119,131,142,145,152,247,253,329,330,342,350
Hong_Kong_2019,498.2,580.6,431.4,179.9,411.4,570.3,52.28,104.4,325.4,280.6,239.9,20,81.55,1128,122.8,694.9,3253,485.4,20,283.6,189.1,271.4,346.7,679,361.7,99.61,428.8,20,40.71,541.8,296.3,97.4,20,20,108.7,20,424,107.6,20,463.4,20,228.3,750.1,20,20,20,40.52,542.9,20,20,20,127,20,174.9,98.79,1843,95.71,66.35,20,157.7,45.41,741.2,209.5,719.3,20,379.2,190.4,1107,140.5,92.12,81.14,153.1,687.6,84.76,355.1,109.8,149.1,64.35,207,164,20,20,20,593,20,77,20,20,280,20,20,20,20,400,89
Sydney_2012,419,111.7,961.7,311.2,162.4,224,105.4,158.1,134.3,301,366.6,259.4,137.9,633.1,260.9,190.3,2356,624,83.13,2140,3156,3150,15533,2242,1189,1238,7987,159.7,975.7,3176,364.2,447.1,1921,445,2106,800.2,154.8,350.7,639.3,465,396.2,632.6,1021,100.2,106.5,528.3,791.8,2211,1067,658.9,389.5,90.61,785.3,283.9,71.71,2214,178.3,104.4,41.07,97.19,226.2,423.4,215,2669,335,199.5,537.7,1120,1188,121.3,129.2,171.6,4056,174.4,388.2,105.8,660.7,115.9,952,1820,522,1552,1482,1798,1638,9591,1029,698,1877,3558,1358,5503,2691,2425,1751
Den_Haag_2006,1895,499.4,1833,836.9,536.4,564.6,68.55,374.1,445.8,492.4,670,264.4,222.9,960.9,413.2,312.1,3882,663.3,79.38,804.3,7625,2099,4670,1263,1766,2866,3985,407.8,1849,4778,865.7,203.2,579.1,231.3,1125,251.6,504.7,548.1,536.9,1094,242.9,610.4,600,143.7,65.27,147,1204,1639,573.7,2191,230.6,434.6,2450,649.5,144.3,5235,386.8,242.7,85.3,299.9,472.8,1665,457.7,3765,326.4,457.9,695.6,2367,5630,947.7,816.9,582.5,5809,1270,1388,610.2,3538,371.5,781,*,191,548,637,2435,371,2771,238,152,1198,683,304,1113,576,1748,363
Den_Haag_2017,453.9,190.8,664.5,350.6,221.2,347.5,20,130,159,278.5,209.6,139.3,125.6,584.5,208.5,274.1,402.7,279.4,76.13,912.4,5943,1332,5283,1230,1316,2679,3300,428.9,1710,5985,581.6,144.5,261,96.3,580.3,150.5,165.9,247.2,550.3,427,228.2,251.8,841.5,216.6,20,98.71,987.6,787,190.9,714.1,54.07,113.7,146.5,209.1,115.8,367.2,167.7,623,20,84.42,139.5,552,138.3,1361,133.6,313.9,617.4,1160,738.8,485.4,461.7,351.6,3388,561.3,1003,544.8,1970,131.3,235,*,119,269,319,966,323,1654,183,111,430,541,204,835,534,995,271
Osaka_2008,388.6,59.55,1317,486.7,357.2,226.3,48.31,171.4,210.8,616.2,373.5,144.5,195.9,597.7,236.1,391,372.2,306.4,102.3,1019,5672,1627,8557,860.3,2022,2299,5679,315.8,1252,3531,661.1,378.8,731.7,153.4,1401,274.5,372.5,206.6,648.9,664.5,169.3,387.6,408.5,212.2,66.05,148.7,1143,2072,442.7,1162,128.5,201,1213,439.3,230.8,3343,569.8,279.4,74.59,271.8,303.3,1084,477.1,9246,268.3,546.4,1238,3797,1595,1254,1017,600.7,8917,879.8,1089,491.8,1913,326.6,333,272,166,332,491,917,530,2978,327,239,428,990,472,1475,603,802,343
